,values
MSSubClass,-0.0033385261202341673
LotFrontage,-0.00020431190601122998
LotArea,0.07290041743623767
YearBuilt,0.0018230941008554951
YearRemodAdd,0.0011904259859671943
MasVnrArea,1.603069533649382e-05
BsmtFinSF1,0.008372595511915083
BsmtFinSF2,-0.0010007267244597133
BsmtUnfSF,-0.0035166679319446484
TotalBsmtSF,0.021927268700779545
1stFlrSF,0.01455692913265717
2ndFlrSF,-0.004170252868571901
LowQualFinSF,-0.0036795959298920973
GrLivArea,0.46162413740403063
GarageYrBlt,-4.1042479467664144e-05
GarageArea,0.00011071777513583667
WoodDeckSF,0.004615233129473452
OpenPorchSF,0.002653988767351628
EnclosedPorch,0.0032903900050646664
3SsnPorch,0.003207072944116218
ScreenPorch,0.009724664227553678
MiscVal,-0.002621896301028407
MSZoning_C (all),-0.3364819883398978
MSZoning_FV,0.008669215420360235
MSZoning_RH,0.0
MSZoning_RL,0.0
MSZoning_RM,-0.03685823039006474
Street_Grvl,-0.0
Street_Pave,0.0
Alley_Grvl,-0.0
Alley_Pave,0.0149891525447733
LotShape_IR1,-0.005989140286608409
LotShape_IR2,0.0
LotShape_IR3,-0.0
LotShape_Reg,0.0
LandContour_Bnk,-0.02833939187796425
LandContour_HLS,0.0
LandContour_Low,-0.0
LandContour_Lvl,0.0
Utilities_AllPub,0.0
Utilities_NoSeWa,-0.0
LotConfig_Corner,0.00956601832349247
LotConfig_CulDSac,0.029752886785547578
LotConfig_FR2,-0.008658887808477294
LotConfig_FR3,-0.0
LotConfig_Inside,-0.0
LandSlope_Gtl,-0.0
LandSlope_Mod,0.006236073412170913
LandSlope_Sev,-0.0
Neighborhood_Blmngtn,0.0
Neighborhood_Blueste,-0.0
Neighborhood_BrDale,-0.0
Neighborhood_BrkSide,0.03745430796932995
Neighborhood_ClearCr,0.005825743676576975
Neighborhood_CollgCr,0.0
Neighborhood_Crawfor,0.11438305966356697
Neighborhood_Edwards,-0.061718309770983734
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,-0.008716114937676208
Neighborhood_MeadowV,-0.03591439464127844
Neighborhood_Mitchel,-0.020663885546590946
Neighborhood_NAmes,-0.0
Neighborhood_NPkVill,0.0
Neighborhood_NWAmes,-0.0006259085661013452
Neighborhood_NoRidge,0.05991446206582357
Neighborhood_NridgHt,0.06319692781911612
Neighborhood_OldTown,-0.007070609876347483
Neighborhood_SWISU,0.0
Neighborhood_Sawyer,-0.0
Neighborhood_SawyerW,-0.0
Neighborhood_Somerst,0.039986893017230525
Neighborhood_StoneBr,0.09375502914869324
Neighborhood_Timber,-0.0
